class,precision,recall,f1_score,support,timestamp
BENIGN,0.9907588538854416,0.983852820702143,0.9872937606675516,113766,20250713_102856
DDoS,0.9999608595248346,0.997734905881434,0.9988466425569348,25606,20250713_102856
DoS,0.9660782543554676,0.9953099026359534,0.9804762508163324,50532,20250713_102856
PortScan,0.9983963777002169,0.9989303466935129,0.9986632908207395,31786,20250713_102856
Bot,0.8556338028169014,0.6183206106870229,0.7178729689807977,393,20250713_102856
WebAttack,0.0,0.0,0.0,0,20250713_102856
Patator,1.0,0.7878568847126852,0.8813422276126945,2767,20250713_102856
